customer_id,credit_score,credit_history_years,number_of_defaults,last_default_year
C02313,666,11,1,2020.0
C02314,790,16,0,
C02315,782,11,1,2019.0
C02316,695,13,2,2016.0
C02317,705,19,1,2019.0
C02318,660,16,1,2024.0
C02319,795,19,0,
C02320,745,19,0,
C02321,712,1,0,
C02322,793,4,0,
C02323,781,25,1,2017.0
C02324,667,13,1,2021.0
C02325,738,11,0,
C02326,740,17,1,2021.0
C02327,765,7,0,
C02328,711,9,1,2016.0
C02329,711,2,1,2016.0
C02330,673,7,2,2020.0
C02331,661,23,1,2020.0
C02332,683,8,1,2020.0
C02333,741,21,1,2016.0
C02334,708,8,0,
C02335,743,21,1,2023.0
C02336,677,14,1,2015.0
C02337,786,10,0,
C02338,739,25,0,
C02339,776,10,1,2018.0
C02340,734,7,0,
C02341,789,17,1,2024.0
C02342,731,8,0,
C02343,523,5,4,2019.0
C02344,693,9,1,2015.0
C02345,655,20,2,2024.0
C02346,536,10,5,2023.0
C02347,713,23,1,2019.0
C02348,705,9,0,
C02349,681,7,2,2019.0
C02350,769,13,1,2023.0
C02351,516,3,4,2024.0
C02352,701,19,1,2022.0
C02353,788,8,1,2017.0
C02354,671,1,2,2021.0
C02355,678,4,2,2024.0
C02356,663,19,1,2017.0
C02357,754,6,0,
C02358,665,22,2,2019.0
C02359,798,10,1,2021.0
C02360,714,14,0,
C02361,741,2,0,
C02362,708,23,1,2022.0
C02363,737,25,0,
C02364,687,19,1,2017.0
C02365,750,4,0,
C02366,683,1,2,2018.0
C02367,703,16,0,
C02368,787,14,0,
C02369,725,17,0,
C02370,652,10,2,2017.0
C02371,709,21,1,2020.0
C02372,754,18,0,
C02373,777,17,1,2021.0
C02374,695,8,2,2022.0
C02375,756,23,0,
C02376,743,14,0,
C02377,762,9,0,
C02378,761,18,0,
C02379,795,12,1,2023.0
C02380,790,15,1,2018.0
C02381,759,24,1,2016.0
C02382,795,24,0,
C02383,657,4,1,2017.0
C02384,682,12,1,2022.0
C02385,678,10,1,2020.0
C02386,781,8,1,2024.0
C02387,671,18,1,2024.0
C02388,783,17,1,2019.0
C02389,701,5,1,2015.0
C02390,732,1,0,
C02391,717,17,1,2018.0
C02392,749,18,0,
C02393,757,4,0,
C02394,707,20,0,
C02395,733,13,0,
C02396,682,3,2,2022.0
C02397,677,17,1,2023.0
C02398,772,10,1,2019.0
C02399,709,11,0,
C02400,695,6,1,2019.0
C02401,791,25,0,
C02402,690,12,1,2018.0
C02403,711,25,0,
C02404,784,24,0,
C02405,751,3,1,2016.0
C02406,685,11,1,2024.0
C02407,759,18,0,
C02408,746,19,1,2020.0
C02409,771,20,1,2016.0
C02410,331,21,2,2021.0
C02411,770,19,0,
C02412,738,22,0,
C02413,601,8,5,2024.0
C02414,731,3,0,
C02415,495,25,2,2023.0
C02416,766,8,1,2023.0
C02417,449,2,5,2015.0
C02418,720,11,0,
C02419,689,1,1,2022.0
C02420,428,22,5,2020.0
C02421,746,18,0,
C02422,694,18,1,2016.0
C02423,561,1,5,2024.0
C02424,345,11,4,2021.0
C02425,686,19,2,2015.0
C02426,665,16,2,2023.0
C02427,764,22,1,2022.0
C02428,699,13,1,2016.0
C02429,650,16,1,2019.0
C02430,701,17,1,2023.0
C02431,770,18,1,2019.0
C02432,800,25,0,
C02433,681,8,2,2023.0
C02434,781,4,1,2018.0
C02435,783,6,0,
C02436,700,25,1,2018.0
C02437,700,6,1,2016.0
C02438,672,25,1,2018.0
C02439,728,21,0,
C02440,709,25,0,
C02441,739,7,1,2023.0
C02442,666,19,1,2021.0
C02443,795,25,1,2017.0
C02444,779,1,1,2021.0
C02445,783,2,1,2017.0
C02446,773,2,1,2021.0
C02447,795,14,0,
C02448,787,10,1,2020.0
C02449,532,2,4,2021.0
C02450,799,15,1,2019.0
C02451,733,9,1,2024.0
C02452,746,7,0,
C02453,687,15,1,2020.0
C02454,372,9,2,2022.0
C02455,717,12,0,
C02456,737,15,0,
C02457,660,17,1,2017.0
C02458,665,18,2,2016.0
C02459,769,1,1,2023.0
C02460,344,13,3,2018.0
C02461,666,11,2,2021.0
C02462,697,19,1,2018.0
C02463,689,5,1,2021.0
C02464,791,20,1,2017.0
C02465,734,24,0,
C02466,752,10,1,2019.0
C02467,787,8,0,
C02468,758,14,0,
C02469,702,24,0,
C02470,790,24,1,2018.0
C02471,731,22,0,
C02472,652,17,2,2016.0
C02473,682,13,1,2024.0
C02474,694,7,2,2018.0
C02475,656,13,1,2018.0
C02476,693,7,1,2018.0
C02477,612,9,4,2017.0
C02478,791,11,0,
C02479,719,24,1,2022.0
C02480,688,8,1,2019.0
C02481,773,18,0,
C02482,697,18,1,2015.0
C02483,772,21,1,2018.0
C02484,779,23,1,2019.0
C02485,777,1,1,2018.0
C02486,692,8,1,2020.0
C02487,732,4,0,
C02488,789,8,1,2018.0
C02489,708,10,0,
C02490,729,21,0,
C02491,555,4,5,2016.0
C02492,679,11,2,2021.0
C02493,678,21,1,2023.0
C02494,702,5,1,2024.0
C02495,725,25,1,2019.0
C02496,753,21,0,
C02497,728,19,1,2024.0
C02498,717,3,0,
C02499,717,22,1,2022.0
C02500,715,14,0,
C02501,496,8,5,2015.0
C02502,665,16,1,2019.0
C02503,796,23,0,
C02504,725,25,1,2023.0
C02505,779,24,0,
C02506,726,13,1,2015.0
C02507,652,1,2,2016.0
C02508,665,21,1,2022.0
C02509,732,14,1,2021.0
C02510,783,19,1,2020.0
C02511,607,5,5,2017.0
C02512,762,7,0,
C02513,733,22,0,
C02514,748,18,0,
C02515,766,10,0,
C02516,719,22,1,2016.0
C02517,772,23,1,2018.0
C02518,677,23,1,2021.0
C02519,776,23,1,2021.0
C02520,505,4,2,2024.0
C02521,670,9,1,2015.0
C02522,788,5,1,2019.0
C02523,792,15,1,2017.0
C02524,688,24,2,2021.0
C02525,735,15,1,2022.0
C02526,767,11,0,
C02527,755,25,0,
C02528,404,9,5,2017.0
C02529,770,22,1,2024.0
C02530,640,2,5,2023.0
C02531,755,1,1,2024.0
C02532,749,15,0,
C02533,723,24,1,2017.0
C02534,363,20,5,2019.0
C02535,753,1,1,2019.0
C02536,759,1,0,
C02537,558,4,2,2016.0
C02538,718,10,0,
C02539,682,20,1,2018.0
C02540,686,1,1,2018.0
C02541,787,14,0,
C02542,645,15,2,2022.0
C02543,768,24,0,
C02544,392,8,3,2021.0
C02545,662,13,1,2015.0
C02546,691,21,2,2015.0
C02547,747,15,1,2020.0
C02548,695,1,2,2018.0
C02549,756,14,1,2016.0
C02550,687,17,1,2021.0
C02551,407,4,3,2019.0
C02552,782,16,1,2019.0
C02553,571,21,5,2015.0
C02554,699,14,2,2017.0
C02555,743,23,1,2018.0
C02556,734,25,1,2017.0
C02557,708,11,1,2018.0
C02558,672,10,1,2015.0
C02559,798,12,0,
C02560,764,24,1,2020.0
C02561,668,25,2,2017.0
C02562,764,15,0,
C02563,642,21,2,2016.0
C02564,778,3,0,
C02565,752,23,0,
C02566,702,3,0,
C02567,794,19,1,2023.0
C02568,671,21,1,2019.0
C02569,671,10,2,2021.0
C02570,789,14,1,2017.0
C02571,765,19,1,2016.0
C02572,381,18,2,2019.0
C02573,576,2,3,2024.0
C02574,710,24,1,2018.0
C02575,653,21,2,2024.0
C02576,728,9,0,
C02577,799,8,0,
C02578,733,11,1,2020.0
C02579,662,21,2,2019.0
C02580,695,7,1,2024.0
C02581,368,25,5,2016.0
C02582,770,11,0,
C02583,787,14,0,
C02584,655,3,1,2019.0
C02585,756,14,0,
C02586,652,23,2,2022.0
C02587,775,16,0,
C02588,792,22,0,
C02589,748,11,0,
C02590,660,12,1,2018.0
C02591,726,6,0,
C02592,642,12,5,2019.0
C02593,718,23,0,
C02594,759,24,1,2015.0
C02595,728,23,0,
C02596,775,11,1,2015.0
C02597,764,8,1,2015.0
C02598,661,25,2,2021.0
C02599,744,23,0,
C02600,778,9,0,
C02601,730,17,1,2019.0
C02602,737,25,1,2021.0
C02603,769,17,0,
C02604,676,11,1,2016.0
C02605,770,18,0,
C02606,655,3,1,2023.0
C02607,793,24,1,2019.0
C02608,655,16,1,2015.0
C02609,675,9,2,2024.0
C02610,745,23,1,2021.0
C02611,705,14,1,2024.0
C02612,484,24,3,2019.0
C02613,386,18,5,2019.0
C02614,662,11,1,2019.0
C02615,748,7,1,2016.0
C02616,724,12,1,2015.0
C02617,736,20,1,2015.0
C02618,735,25,1,2016.0
C02619,764,10,0,
C02620,724,8,1,2020.0
C02621,707,22,1,2015.0
C02622,657,10,2,2020.0
C02623,678,22,1,2023.0
C02624,770,2,1,2022.0
C02625,760,2,1,2021.0
C02626,484,14,3,2024.0
C02627,711,20,1,2017.0
C02628,671,19,1,2021.0
C02629,754,17,0,
C02630,741,7,1,2023.0
C02631,760,9,1,2017.0
C02632,799,19,0,
C02633,730,19,0,
C02634,666,22,2,2024.0
C02635,705,4,0,
C02636,747,23,1,2022.0
C02637,681,24,1,2023.0
C02638,750,23,0,
C02639,378,8,5,2015.0
C02640,761,4,1,2016.0
C02641,797,20,1,2020.0
C02642,737,21,1,2023.0
C02643,650,11,1,2015.0
C02644,655,15,1,2015.0
C02645,760,8,1,2024.0
C02646,744,15,1,2017.0
C02647,784,9,0,
C02648,785,20,1,2017.0
C02649,797,4,0,
C02650,496,10,5,2020.0
C02651,776,17,0,
C02652,316,18,5,2020.0
C02653,753,1,1,2024.0
C02654,726,23,0,
C02655,735,21,1,2022.0
C02656,776,10,1,2015.0
C02657,771,11,1,2021.0
C02658,493,16,5,2023.0
C02659,464,23,5,2017.0
C02660,378,24,5,2015.0
C02661,721,3,1,2017.0
C02662,713,7,0,
C02663,742,23,0,
C02664,706,18,0,
C02665,681,25,1,2015.0
C02666,770,23,0,
C02667,349,8,5,2019.0
C02668,797,19,1,2022.0
C02669,747,14,1,2023.0
C02670,343,8,3,2015.0
C02671,776,6,1,2021.0
C02672,722,18,1,2024.0
C02673,674,9,1,2024.0
C02674,581,12,4,2016.0
C02675,679,3,1,2017.0
C02676,720,12,1,2024.0
C02677,332,13,2,2016.0
C02678,777,6,0,
C02679,771,20,1,2023.0
C02680,719,13,0,
C02681,770,9,1,2022.0
C02682,727,6,0,
C02683,704,18,1,2024.0
C02684,766,20,1,2016.0
C02685,748,16,1,2015.0
C02686,668,2,1,2024.0
C02687,776,4,1,2022.0
C02688,783,19,1,2024.0
C02689,777,3,1,2021.0
C02690,753,20,0,
C02691,784,21,1,2021.0
C02692,778,10,0,
C02693,727,23,1,2021.0
C02694,768,22,1,2022.0
C02695,600,8,2,2023.0
C02696,699,13,1,2021.0
C02697,301,6,3,2020.0
C02698,797,21,0,
C02699,692,9,1,2017.0
C02700,700,21,1,2020.0
C02701,799,23,0,
C02702,627,18,5,2018.0
C02703,702,22,0,
C02704,751,24,1,2016.0
C02705,657,25,2,2018.0
C02706,692,1,2,2016.0
C02707,774,1,1,2021.0
C02708,766,1,1,2018.0
C02709,741,20,1,2022.0
C02710,652,21,1,2016.0
C02711,776,24,1,2017.0
C02712,650,24,2,2019.0
C02713,759,14,0,
C02714,728,10,0,
C02715,729,18,1,2020.0
C02716,786,15,1,2024.0
C02717,733,1,1,2018.0
C02718,728,22,0,
C02719,739,24,0,
C02720,759,14,1,2020.0
C02721,740,17,1,2018.0
C02722,729,11,0,
C02723,678,3,2,2017.0
C02724,695,5,2,2022.0
C02725,734,22,1,2020.0
C02726,667,25,1,2022.0
C02727,762,13,1,2018.0
C02728,720,17,0,
C02729,752,21,0,
C02730,701,5,1,2020.0
C02731,722,9,0,
C02732,758,11,1,2018.0
C02733,786,8,1,2018.0
C02734,677,22,2,2016.0
C02735,746,3,1,2019.0
C02736,793,7,1,2019.0
C02737,718,9,1,2021.0
C02738,731,10,1,2019.0
C02739,763,3,0,
C02740,743,12,1,2020.0
C02741,618,9,4,2018.0
C02742,747,3,0,
C02743,738,3,1,2023.0
C02744,800,5,0,
C02745,729,23,0,
C02746,689,21,1,2023.0
C02747,748,5,1,2022.0
C02748,736,11,0,
C02749,796,18,1,2021.0
C02750,795,19,0,
C02751,652,6,2,2022.0
C02752,726,20,1,2019.0
C02753,789,20,1,2015.0
C02754,307,20,3,2020.0
C02755,782,25,0,
C02756,795,23,1,2024.0
C02757,792,1,0,
C02758,773,2,0,
C02759,771,13,1,2017.0
C02760,786,8,0,
C02761,717,18,0,
C02762,775,2,0,
C02763,764,23,0,
C02764,312,2,5,2024.0
C02765,757,14,1,2019.0
C02766,738,21,0,
C02767,710,18,1,2015.0
C02768,301,23,3,2018.0
C02769,377,9,4,2016.0
C02770,470,2,3,2023.0
C02771,715,1,0,
C02772,667,2,2,2015.0
C02773,777,15,1,2018.0
C02774,759,15,1,2023.0
C02775,646,4,2,2018.0
C02776,755,1,1,2024.0
C02777,756,7,1,2023.0
C02778,652,2,1,2015.0
C02779,737,14,1,2015.0
C02780,715,15,0,
C02781,730,10,0,
C02782,758,24,0,
C02783,741,22,1,2015.0
C02784,751,20,1,2022.0
C02785,752,25,0,
C02786,668,10,2,2019.0
C02787,724,21,0,
C02788,788,1,0,
C02789,710,8,1,2019.0
C02790,682,25,1,2017.0
C02791,784,25,1,2015.0
C02792,660,13,2,2024.0
C02793,769,13,1,2015.0
C02794,765,10,0,
C02795,789,25,1,2017.0
C02796,749,12,1,2018.0
C02797,791,19,1,2019.0
C02798,672,10,2,2015.0
C02799,688,18,2,2021.0
C02800,773,9,0,
C02801,702,16,1,2016.0
C02802,674,25,1,2024.0
C02803,441,7,2,2017.0
C02804,781,25,0,
C02805,715,16,1,2017.0
C02806,765,10,0,
C02807,655,1,1,2015.0
C02808,715,10,1,2023.0
C02809,390,9,5,2018.0
C02810,740,4,0,
C02811,655,8,1,2019.0
C02812,716,21,0,
C02813,472,13,3,2015.0
C02814,703,25,1,2024.0
C02815,754,10,0,
C02816,679,6,2,2015.0
C02817,447,24,3,2022.0
C02818,782,12,1,2018.0
C02819,793,22,0,
C02820,763,21,1,2020.0
C02821,741,11,1,2015.0
C02822,424,1,3,2024.0
C02823,327,17,3,2015.0
C02824,745,2,0,
C02825,666,17,1,2021.0
C02826,750,11,1,2015.0
C02827,659,23,2,2016.0
C02828,790,25,0,
C02829,744,17,1,2019.0
C02830,442,22,3,2024.0
C02831,742,21,0,
C02832,775,12,1,2022.0
C02833,692,4,1,2023.0
C02834,475,21,2,2018.0
C02835,767,24,0,
C02836,716,23,1,2018.0
C02837,676,19,1,2024.0
C02838,732,12,0,
C02839,722,21,0,
C02840,700,16,0,
C02841,613,6,2,2017.0
C02842,735,16,0,
C02843,794,8,1,2023.0
C02844,680,12,2,2024.0
C02845,698,22,2,2015.0
C02846,755,7,1,2019.0
C02847,759,12,0,
C02848,763,14,0,
C02849,679,10,2,2015.0
C02850,756,25,1,2024.0
C02851,664,19,1,2024.0
C02852,655,22,1,2018.0
C02853,695,18,2,2020.0
C02854,791,1,1,2021.0
C02855,727,21,1,2018.0
C02856,759,4,1,2017.0
C02857,751,9,1,2015.0
C02858,707,2,0,
C02859,678,19,1,2024.0
C02860,752,7,1,2016.0
C02861,711,6,1,2023.0
C02862,735,22,1,2021.0
C02863,686,16,2,2020.0
C02864,718,10,0,
C02865,769,17,0,
C02866,369,19,3,2015.0
C02867,773,18,0,
C02868,775,13,1,2016.0
C02869,317,7,4,2019.0
C02870,792,23,0,
C02871,758,14,1,2018.0
C02872,657,5,2,2022.0
C02873,700,18,0,
C02874,736,25,1,2021.0
C02875,706,3,1,2015.0
C02876,656,25,1,2019.0
C02877,706,18,0,
C02878,765,1,0,
C02879,751,21,0,
C02880,700,10,1,2019.0
C02881,689,21,1,2017.0
C02882,564,25,3,2024.0
C02883,468,12,4,2023.0
C02884,732,25,1,2019.0
C02885,707,12,1,2016.0
C02886,698,24,2,2015.0
C02887,759,14,1,2018.0
C02888,728,20,1,2017.0
C02889,717,8,1,2015.0
C02890,421,18,4,2017.0
C02891,671,5,1,2015.0
C02892,735,24,1,2016.0
C02893,744,2,1,2019.0
C02894,749,7,1,2020.0
C02895,713,3,0,
C02896,758,8,0,
C02897,467,18,4,2017.0
C02898,790,22,0,
C02899,774,15,1,2021.0
C02900,410,1,4,2024.0
C02901,794,4,1,2022.0
C02902,655,13,2,2017.0
C02903,771,4,0,
C02904,759,8,0,
C02905,759,2,0,
C02906,725,18,1,2017.0
C02907,717,10,1,2021.0
C02908,788,20,1,2022.0
C02909,714,16,0,
C02910,734,6,1,2022.0
C02911,794,18,1,2016.0
C02912,713,2,1,2018.0
C02913,755,15,1,2018.0
C02914,465,6,2,2019.0
C02915,768,3,1,2016.0
C02916,773,10,1,2024.0
C02917,780,9,0,
C02918,800,19,1,2023.0
C02919,711,2,1,2019.0
C02920,662,19,1,2016.0
C02921,734,25,0,
C02922,748,25,1,2022.0
C02923,653,11,1,2018.0
C02924,783,11,1,2024.0
C02925,740,18,0,
C02926,785,15,0,
C02927,753,19,0,
C02928,677,17,2,2023.0
C02929,709,9,0,
C02930,764,15,1,2024.0
C02931,783,22,1,2022.0
C02932,311,4,2,2021.0
C02933,744,21,1,2017.0
C02934,706,5,1,2018.0
C02935,760,15,1,2017.0
C02936,663,5,2,2020.0
C02937,721,9,1,2018.0
C02938,724,22,1,2021.0
C02939,780,12,1,2019.0
C02940,556,16,5,2019.0
C02941,732,10,0,
C02942,685,9,1,2015.0
C02943,798,12,0,
C02944,751,13,0,
C02945,770,24,0,
C02946,690,3,1,2024.0
C02947,696,14,2,2019.0
C02948,730,25,0,
C02949,680,7,1,2020.0
C02950,737,3,1,2021.0
C02951,731,20,1,2020.0
C02952,726,12,0,
C02953,729,9,1,2020.0
C02954,731,5,0,
C02955,768,13,0,
C02956,738,13,0,
C02957,690,15,2,2015.0
C02958,728,1,1,2022.0
C02959,783,12,1,2019.0
C02960,761,11,0,
C02961,732,10,1,2015.0
C02962,746,25,0,
C02963,642,11,4,2021.0
C02964,745,20,0,
C02965,738,13,0,
C02966,796,8,1,2024.0
C02967,478,9,4,2023.0
C02968,782,9,0,
C02969,733,8,1,2017.0
C02970,709,2,0,
C02971,707,17,0,
C02972,755,20,1,2022.0
C02973,652,20,1,2019.0
C02974,750,1,0,
C02975,779,3,1,2023.0
C02976,699,14,1,2022.0
C02977,792,11,0,
C02978,653,23,2,2023.0
C02979,789,15,0,
C02980,678,14,2,2019.0
C02981,687,18,2,2018.0
C02982,703,12,1,2024.0
C02983,655,2,1,2020.0
C02984,790,8,0,
C02985,722,21,0,
C02986,692,8,1,2018.0
C02987,784,4,0,
C02988,664,17,2,2024.0
C02989,632,15,3,2015.0
C02990,718,20,1,2021.0
C02991,351,17,4,2018.0
C02992,697,20,2,2018.0
C02993,798,9,0,
C02994,670,8,1,2023.0
C02995,757,6,1,2024.0
C02996,639,1,3,2020.0
C02997,721,8,0,
C02998,348,14,4,2023.0
C02999,730,7,1,2017.0
C03000,719,22,1,2018.0
C03001,701,3,0,
C03002,764,12,0,
C03003,697,6,1,2020.0
C03004,633,18,2,2019.0
C03005,365,12,5,2024.0
C03006,647,9,4,2023.0
C03007,722,9,1,2023.0
C03008,750,15,0,
C03009,666,12,1,2022.0
C03010,588,1,2,2024.0
C03011,394,5,4,2016.0
C03012,673,21,1,2022.0
C03013,781,4,0,
C03014,352,8,2,2018.0
C03015,716,15,0,
C03016,727,18,1,2022.0
C03017,651,1,1,2020.0
C03018,691,6,2,2021.0
C03019,726,4,0,
C03020,705,1,1,2017.0
C03021,762,10,1,2017.0
C03022,735,4,0,
C03023,772,22,0,
C03024,771,4,1,2023.0
C03025,762,8,0,
C03026,776,21,1,2023.0
C03027,700,9,0,
C03028,797,25,1,2017.0
C03029,743,2,0,
C03030,747,18,0,
C03031,790,4,1,2016.0
C03032,659,21,1,2017.0
C03033,656,12,1,2019.0
C03034,695,7,1,2019.0
C03035,670,23,2,2015.0
C03036,681,5,2,2022.0
C03037,672,5,2,2016.0
C03038,679,17,1,2022.0
C03039,404,4,2,2015.0
C03040,719,24,1,2015.0
C03041,703,2,1,2020.0
C03042,737,13,0,
C03043,671,16,2,2024.0
C03044,771,17,1,2016.0
C03045,653,22,2,2017.0
C03046,762,12,1,2016.0
C03047,659,23,2,2017.0
C03048,738,16,0,
C03049,711,9,1,2017.0
C03050,770,16,0,
C03051,758,10,0,
C03052,781,2,1,2016.0
C03053,660,12,1,2022.0
C03054,791,2,1,2019.0
C03055,800,22,0,
C03056,699,4,1,2022.0
C03057,336,6,5,2024.0
C03058,710,11,1,2015.0
C03059,655,23,2,2019.0
C03060,795,15,0,
C03061,676,9,2,2022.0
C03062,696,19,1,2018.0
C03063,794,3,1,2024.0
C03064,726,8,0,
C03065,674,18,1,2018.0
C03066,393,8,4,2020.0
C03067,758,22,0,
C03068,602,2,4,2020.0
C03069,675,2,2,2020.0
C03070,771,14,1,2015.0
C03071,743,9,1,2022.0
C03072,713,3,0,
C03073,758,20,0,
C03074,564,9,2,2018.0
C03075,782,10,1,2019.0
C03076,793,1,0,
C03077,754,5,1,2020.0
C03078,736,14,1,2018.0
C03079,786,15,1,2023.0
C03080,762,14,1,2020.0
C03081,393,13,3,2019.0
C03082,745,3,0,
C03083,651,23,2,2024.0
C03084,676,8,2,2020.0
C03085,786,22,0,
C03086,740,21,1,2022.0
C03087,757,1,0,
C03088,362,19,3,2018.0
C03089,711,15,1,2024.0
C03090,682,11,1,2020.0
C03091,745,1,1,2020.0
C03092,773,17,0,
C03093,731,10,0,
C03094,691,22,2,2022.0
C03095,709,13,0,
C03096,717,22,1,2022.0
C03097,783,10,0,
C03098,426,1,3,2015.0
C03099,661,13,2,2016.0
C03100,656,11,2,2016.0
C03101,760,13,0,
C03102,479,4,2,2023.0
C03103,336,1,4,2023.0
C03104,694,10,2,2016.0
C03105,527,16,2,2016.0
C03106,671,16,1,2023.0
C03107,679,1,1,2017.0
C03108,772,8,1,2019.0
C03109,693,21,1,2021.0
C03110,753,16,1,2024.0
C03111,663,7,2,2015.0
C03112,649,10,3,2019.0
C03113,666,7,2,2018.0
C03114,748,25,1,2023.0
C03115,741,23,1,2015.0
C03116,619,9,3,2016.0
C03117,702,21,1,2022.0
C03118,670,10,2,2015.0
C03119,487,24,4,2020.0
C03120,781,12,0,
C03121,667,4,2,2017.0
C03122,772,18,0,
C03123,345,21,2,2021.0
C03124,527,16,2,2023.0
C03125,757,4,0,
C03126,758,10,1,2015.0
C03127,673,7,2,2018.0
C03128,798,17,0,
C03129,667,14,1,2015.0
C03130,741,9,0,
C03131,519,2,4,2023.0
C03132,669,17,1,2017.0
C03133,699,20,1,2022.0
C03134,741,14,1,2017.0
C03135,668,9,1,2020.0
C03136,745,13,1,2019.0
C03137,717,21,0,
C03138,655,22,1,2020.0
C03139,690,24,1,2020.0
C03140,668,19,2,2016.0
C03141,710,21,0,
C03142,761,19,1,2022.0
C03143,321,5,4,2017.0
C03144,745,13,1,2019.0
C03145,789,6,0,
C03146,678,10,1,2021.0
C03147,686,15,2,2019.0
C03148,781,21,1,2023.0
C03149,748,3,0,
C03150,721,21,1,2019.0
C03151,426,20,3,2022.0
C03152,512,24,4,2022.0
C03153,799,15,1,2017.0
C03154,715,18,0,
C03155,779,2,1,2020.0
C03156,775,10,1,2017.0
C03157,714,16,0,
C03158,782,3,1,2022.0
C03159,707,9,0,
C03160,732,7,1,2023.0
C03161,744,15,0,
C03162,740,10,0,
C03163,713,25,0,
C03164,738,17,1,2016.0
C03165,756,12,1,2024.0
C03166,752,13,0,
C03167,787,11,1,2023.0
C03168,791,20,0,
C03169,710,2,1,2024.0
C03170,723,17,0,
C03171,699,10,1,2016.0
C03172,781,21,0,
C03173,694,17,2,2020.0
C03174,665,11,2,2019.0
C03175,732,11,1,2020.0
C03176,775,25,1,2018.0
C03177,756,2,1,2015.0
C03178,669,2,1,2020.0
C03179,782,4,1,2017.0
C03180,754,8,0,
C03181,691,15,2,2021.0
C03182,652,14,2,2017.0
C03183,718,4,1,2020.0
C03184,790,1,1,2019.0
C03185,731,13,0,
C03186,785,16,1,2018.0
C03187,789,3,1,2017.0
C03188,481,10,5,2023.0
C03189,668,10,1,2020.0
C03190,784,4,1,2017.0
C03191,737,9,0,
C03192,792,1,1,2022.0
C03193,663,22,2,2024.0
C03194,705,23,1,2020.0
C03195,672,17,2,2018.0
C03196,658,10,1,2023.0
C03197,469,6,4,2018.0
C03198,670,10,1,2015.0
C03199,707,19,0,
C03200,781,18,0,
C03201,723,19,0,
C03202,657,11,1,2020.0
C03203,758,14,0,
C03204,725,4,1,2017.0
C03205,766,10,0,
C03206,704,16,1,2020.0
C03207,745,19,0,
C03208,798,4,0,
C03209,676,2,2,2017.0
C03210,661,12,1,2015.0
C03211,796,10,0,
C03212,750,15,1,2021.0
C03213,661,20,1,2024.0
C03214,675,21,2,2017.0
C03215,707,15,1,2024.0
C03216,711,4,1,2018.0
C03217,412,11,2,2017.0
C03218,705,20,0,
C03219,719,20,0,
C03220,483,14,2,2015.0
C03221,769,10,1,2022.0
C03222,737,10,0,
C03223,760,1,0,
C03224,769,22,0,
C03225,659,1,2,2021.0
C03226,666,7,2,2024.0
C03227,771,21,0,
C03228,718,5,0,
C03229,658,20,1,2020.0
C03230,778,13,1,2022.0
C03231,656,10,2,2019.0
C03232,654,17,1,2020.0
C03233,719,24,1,2020.0
C03234,670,10,2,2021.0
C03235,794,17,0,
C03236,709,1,0,
C03237,737,16,1,2024.0
C03238,727,22,1,2019.0
C03239,732,14,0,
C03240,799,6,0,
C03241,740,20,0,
C03242,697,21,2,2022.0
C03243,712,13,1,2016.0
C03244,788,22,0,
C03245,784,20,1,2023.0
C03246,685,6,1,2018.0
C03247,686,14,1,2017.0
C03248,706,14,0,
C03249,716,1,1,2021.0
C03250,723,3,1,2024.0
C03251,515,20,5,2017.0
C03252,744,17,1,2019.0
C03253,656,21,2,2024.0
C03254,700,22,1,2018.0
C03255,654,17,1,2023.0
C03256,724,22,1,2019.0
C03257,713,18,0,
C03258,796,3,0,
C03259,741,4,1,2021.0
C03260,712,1,0,
C03261,472,19,2,2018.0
C03262,717,23,1,2024.0
C03263,670,24,1,2023.0
C03264,680,4,1,2020.0
C03265,749,22,0,
C03266,696,21,1,2016.0
C03267,656,19,2,2023.0
C03268,675,8,2,2020.0
C03269,769,12,1,2023.0
C03270,732,15,0,
C03271,751,17,1,2016.0
C03272,616,3,4,2017.0
C03273,420,11,3,2024.0
C03274,683,1,1,2019.0
C03275,761,3,1,2019.0
C03276,790,17,1,2024.0
C03277,691,11,1,2019.0
C03278,657,7,1,2017.0
C03279,716,6,0,
C03280,692,10,1,2016.0
C03281,720,6,1,2019.0
C03282,718,25,1,2020.0
C03283,740,3,1,2021.0
C03284,711,13,0,
C03285,793,19,1,2015.0
C03286,684,11,1,2024.0
C03287,555,19,4,2019.0
C03288,731,3,1,2016.0
C03289,761,17,1,2017.0
C03290,672,11,1,2023.0
C03291,749,16,1,2017.0
C03292,732,7,1,2020.0
C03293,684,1,1,2019.0
C03294,730,24,1,2019.0
C03295,746,19,0,
C03296,674,5,2,2020.0
C03297,710,10,1,2018.0
C03298,701,17,0,
C03299,693,17,2,2019.0
C03300,665,2,2,2022.0
C03301,751,7,0,
C03302,728,2,1,2016.0
C03303,727,13,0,
C03304,637,22,5,2020.0
C03305,671,10,2,2016.0
C03306,796,17,1,2024.0
C03307,787,13,1,2021.0
C03308,737,22,0,
C03309,729,1,1,2016.0
C03310,777,16,1,2018.0
C03311,659,25,1,2017.0
C03312,650,5,2,2022.0
C03313,719,24,0,
C03314,732,2,1,2018.0
C03315,717,2,0,
C03316,700,23,1,2017.0
C03317,672,1,2,2023.0
C03318,786,2,1,2019.0
C03319,440,5,4,2017.0
C03320,711,9,0,
C03321,316,22,4,2017.0
C03322,683,23,2,2019.0
C03323,696,9,2,2020.0
